OTU ID	A01-nonchimeras.blast	A02-nonchimeras.blast	A03-nonchimeras.blast	A04-nonchimeras.blast	A05-nonchimeras.blast	A06-nonchimeras.blast	A07-nonchimeras.blast	A08-nonchimeras.blast	A09-nonchimeras.blast	A10-nonchimeras.blast	A12-nonchimeras.blast	B01-nonchimeras.blast	B02-nonchimeras.blast	B03-nonchimeras.blast	B04-nonchimeras.blast	B05-nonchimeras.blast	B06-nonchimeras.blast	B07-nonchimeras.blast	B08-nonchimeras.blast	B09-nonchimeras.blast	B10-nonchimeras.blast	B12-nonchimeras.blast	C01-nonchimeras.blast	C02-nonchimeras.blast	C03-nonchimeras.blast	C04-nonchimeras.blast	C05-nonchimeras.blast	C06-nonchimeras.blast	C07-nonchimeras.blast	C08-nonchimeras.blast	C09-nonchimeras.blast	C10-nonchimeras.blast	C12-nonchimeras.blast	D01-nonchimeras.blast	D02-nonchimeras.blast	D03-nonchimeras.blast	D04-nonchimeras.blast	D05-nonchimeras.blast	D06-nonchimeras.blast	D07-nonchimeras.blast	D08-nonchimeras.blast	D09-nonchimeras.blast	D10-nonchimeras.blast	D12-nonchimeras.blast	E01-nonchimeras.blast	E02-nonchimeras.blast	E03-nonchimeras.blast	E04-nonchimeras.blast	E05-nonchimeras.blast	E06-nonchimeras.blast	E07-nonchimeras.blast	E08-nonchimeras.blast	E09-nonchimeras.blast	E10-nonchimeras.blast	E11-nonchimeras.blast	E12-nonchimeras.blast	F01-nonchimeras.blast	F02-nonchimeras.blast	F03-nonchimeras.blast	F04-nonchimeras.blast	F05-nonchimeras.blast	F06-nonchimeras.blast	F07-nonchimeras.blast	F08-nonchimeras.blast	F09-nonchimeras.blast	F10-nonchimeras.blast	F11-nonchimeras.blast	F12-nonchimeras.blast	G01-nonchimeras.blast	G02-nonchimeras.blast	G03-nonchimeras.blast	G04-nonchimeras.blast	G05-nonchimeras.blast	G06-nonchimeras.blast	G07-nonchimeras.blast	G08-nonchimeras.blast	G09-nonchimeras.blast	G11-nonchimeras.blast	H01-nonchimeras.blast	H02-nonchimeras.blast	H03-nonchimeras.blast	H04-nonchimeras.blast	H05-nonchimeras.blast	H06-nonchimeras.blast	H07-nonchimeras.blast	H08-nonchimeras.blast	H09-nonchimeras.blast	H11-nonchimeras.blast	taxomomy
Cottus gobio	522.0	505.0	85.0	119.0	412.0	314.0	165.0	1058.0	63.0	0.0	3022.0	0.0	0.0	525.0	0.0	0.0	0.0	192.0	0.0	264.0	0.0	10055.0	522.0	0.0	242.0	0.0	0.0	0.0	0.0	200.0	0.0	0.0	0.0	397.0	0.0	0.0	0.0	0.0	0.0	334.0	164.0	0.0	0.0	4.0	706.0	208.0	0.0	350.0	0.0	100.0	94.0	0.0	0.0	0.0	3678.0	0.0	86.0	0.0	0.0	232.0	0.0	0.0	259.0	167.0	0.0	0.0	0.0	986.0	210.0	272.0	168.0	0.0	0.0	357.0	695.0	292.0	0.0	7.0	0.0	107.0	363.0	0.0	0.0	503.0	392.0	802.0	0.0	5.0	['k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Perciformes', 'f__Cottidae', 'g__Cottus', 's__Cottus_gobio']
Hypophthalmichthys molitrix	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	['k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Cypriniformes', 'f__Cyprinidae', 'g__Hypophthalmichthys', 's__Hypophthalmichthys_molitrix']
Pungitius pungitius	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4128.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	210.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	882.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	['k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Perciformes', 'f__Gasterosteidae', 'g__Pungitius', 's__Pungitius_pungitius']
Barbatula barbatula	0.0	0.0	113.0	0.0	238.0	0.0	0.0	333.0	176.0	0.0	0.0	0.0	0.0	0.0	0.0	211.0	0.0	0.0	0.0	63.0	0.0	0.0	0.0	291.0	116.0	0.0	498.0	89.0	0.0	262.0	51.0	21.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	201.0	0.0	82.0	0.0	0.0	95.0	0.0	0.0	156.0	54.0	122.0	60.0	0.0	772.0	0.0	0.0	0.0	0.0	0.0	352.0	0.0	0.0	0.0	85.0	0.0	23.0	0.0	0.0	0.0	97.0	0.0	0.0	0.0	95.0	0.0	236.0	0.0	0.0	0.0	172.0	154.0	0.0	207.0	0.0	0.0	366.0	0.0	0.0	['k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Cypriniformes', 'f__Nemacheilidae', 'g__Barbatula', 's__Barbatula_barbatula']
Lepomis gibbosus	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	38.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	['k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Centrarchiformes', 'f__Centrarchidae', 'g__Lepomis', 's__Lepomis_gibbosus']
Gobio gobio	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	347.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2606.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	['k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Cypriniformes', 'f__Cyprinidae', 'g__Gobio', 's__Gobio_gobio']
Tinca tinca	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1094.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	129.0	0.0	0.0	0.0	0.0	125.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	983.0	77.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	527.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	667.0	['k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Cypriniformes', 'f__Cyprinidae', 'g__Tinca', 's__Tinca_tinca']
Ameiurus nebulosus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6582.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1618.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7913.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1655.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	['k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Siluriformes', 'f__Ictaluridae', 'g__Ameiurus', 's__Ameiurus_nebulosus']
Osmerus eperlanus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	['k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Osmeriformes', 'f__Osmeridae', 'g__Osmerus', 's__Osmerus_eperlanus']
Abramis brama	342.0	0.0	0.0	1621.0	435.0	226.0	0.0	434.0	89.0	0.0	0.0	0.0	0.0	0.0	0.0	596.0	1032.0	0.0	0.0	213.0	0.0	19987.0	0.0	0.0	419.0	0.0	870.0	2503.0	0.0	0.0	0.0	0.0	12.0	0.0	187.0	322.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	1224.0	0.0	802.0	257.0	415.0	191.0	560.0	0.0	114.0	0.0	0.0	8985.0	13454.0	0.0	279.0	0.0	931.0	951.0	517.0	0.0	239.0	0.0	0.0	3.0	4.0	0.0	338.0	518.0	1322.0	0.0	0.0	0.0	400.0	0.0	4736.0	0.0	928.0	448.0	1003.0	329.0	0.0	0.0	171.0	0.0	5238.0	['k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Cypriniformes', 'f__Cyprinidae', 'g__Abramis', 's__Abramis_brama']
