sample,total,trimmed-total,post-merging,post-chimera-filter,cluster_thres,clusters_total,clusters_min_cov,cluster_above_thres,queries
Bassenthwaite_01,15756,9352,5951,5951,1.0,362,3,68,5634
Bassenthwaite_02,7844,6839,5086,5072,1.0,362,3,71,4752
Bassenthwaite_03,36180,31177,23991,23985,1.0,1360,3,224,22674
Bassenthwaite_04,17638,14449,10932,10931,1.0,742,3,166,10290
Bassenthwaite_05,60480,51443,40110,40062,1.0,2039,3,348,38101
Bassenthwaite_shore-01,43218,36964,27901,27714,1.0,1429,3,255,26320
Derwent_01,40982,34865,27851,27848,1.0,1059,3,281,26850
Derwent_02,1052,887,747,747,1.0,71,3,34,695
Derwent_03,41356,36271,27643,27641,1.0,853,3,233,26808
Derwent_04,22932,18791,13180,13180,1.0,629,3,146,12597
Derwent_05,39498,32413,30505,30498,1.0,1303,3,291,29264
Derwent_shore-01,7688,6656,5097,5097,1.0,278,3,45,4844
Mock-community_01,95154,78443,59764,49029,1.0,4298,3,865,44969
Mock-community_02,74520,53831,42141,35934,1.0,3193,3,688,32938
Mock-community_03,87184,77472,57146,47533,1.0,4377,3,833,43394
Mock-community_04,95040,85132,62296,52563,1.0,4214,3,975,48683
Mock-community_05,89242,65057,51927,46212,1.0,3082,3,673,43298
Mock-community_06,84336,74227,53187,43828,1.0,3248,3,728,40825
Mock-community_07,93726,63229,51102,44459,1.0,3358,3,768,41386
Mock-community_08,83718,71484,56607,50013,1.0,3599,3,746,46582
Mock-community_09,91180,81223,57234,47107,1.0,3487,3,825,43911
Mock-community_10,72406,59604,44086,37386,1.0,2573,3,598,34978
Windermere_01,78050,67527,51654,51593,1.0,2572,3,416,49033
Windermere_02,72898,64649,47457,47423,1.0,2149,3,570,45514
Windermere_03,38054,34282,25331,25298,1.0,1431,3,185,23878
Windermere_04,43938,38568,31056,31043,1.0,1497,3,239,29593
Windermere_05,52578,44622,34827,34825,1.0,1784,3,293,33120
Windermere_06,41950,36741,29769,29760,1.0,1510,3,247,28338
Windermere_07,3462,3144,2295,2287,1.0,191,3,33,2119
Windermere_08,43426,38439,30612,30285,1.0,1876,3,293,28473
Windermere_09,58590,51724,40556,40526,1.0,2209,3,348,38318
Windermere_10,81852,67540,63104,63103,1.0,1585,3,518,61780
Windermere_11-0m,94870,77856,69531,69531,1.0,2177,3,556,67527
Windermere_11-10m,67994,56402,46563,46556,1.0,2249,3,387,44351
Windermere_11-20m,98508,83653,67967,67956,1.0,2781,3,551,65187
Windermere_11-30m,17818,15078,11370,11368,1.0,542,3,84,10800
Windermere_11-40m,83384,67461,61370,61370,1.0,1974,3,543,59604
Windermere_11-50m,82260,70409,55138,55134,1.0,2544,3,470,52671
Windermere_11-60m,29312,26027,19171,19171,1.0,1095,3,147,18103
